ID,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15
P041,-1.458109872,0.169237237,-0.855472474,0.055833407,0.317173263,-0.312001331,-1.106194794,-0.704873828,-0.097715498,-0.147125952,-1.000323389,-0.645546383,0.262022593,-0.885404672,-0.133691458,0.045637281
P042,0.101626525,0.728643349,-1.200081172,0.689813463,-0.061797061,1.090511663,-0.652270872,-0.600550124,1.08265637,-1.200663077,-0.532099039,-1.454800194,-0.173052372,0.214755388,-0.030910942,-0.330325682
P043,-0.263253144,-1.435397917,1.074414515,-0.299376952,1.860007903,-0.624945197,-1.343380333,-1.490409865,2.735442954,-1.604494806,0.252798264,0.673148336,0.342660782,-0.230625799,0.238000912,1.546844305
P044,0.660533832,0.683824237,2.063500118,0.995414651,1.559115905,-1.42992619,-0.785062356,0.966149702,-0.196292915,-0.830056476,-1.54426992,-0.366853931,-0.95606923,-1.265784383,0.060258346,0.524339497
P045,1.126839343,-0.662285003,-0.951139041,0.493891435,-0.231652779,0.691884793,-0.120561737,0.659346822,-0.871975699,0.094823246,-0.033928031,0.197787495,0.363746848,1.337830778,-1.277468865,-0.450744014
P046,0.671629296,-1.211644748,-0.872714963,0.241868411,0.368122097,0.559908496,-0.51091864,0.07070807,-0.157658307,0.817629608,0.307244197,-0.222296493,0.168375698,-1.013724934,1.676548826,0.358522415
P047,-1.011260794,0.689646672,-0.054674974,-1.969078471,-0.115707516,1.179041888,0.637477103,0.605182477,-0.576714535,0.061730675,-0.261728795,-0.064246294,1.238948949,0.299248501,0.842628316,0.741358437
P048,-1.191479016,1.517811215,-1.850782032,1.152935908,0.85536308,-0.222130511,1.893238526,0.807705278,0.857711947,1.464073418,-2.208211304,-0.129964984,-0.525311535,0.425699547,1.033385495,1.309184032
P049,0.678575571,-1.415458056,-1.039716634,-0.71697264,0.464874378,-0.08295138,-0.502829717,0.821851073,1.451196078,0.213926483,0.569094548,-0.06217765,-0.652717163,-1.622674028,0.116603054,-1.963318674
P050,-0.893843492,0.689484572,0.031949864,-0.604656413,0.463783665,0.508788934,0.023622877,0.505879919,-0.121481369,0.168295479,0.026252926,0.098233447,0.568620834,0.871316383,0.464889805,0.081446072
